molecule_id,smiles,amine_type,description
amine_001,C1CCNCC1,secondary,胺类化合物(C1CCNCC1)
amine_002,NCC(=O)O,primary,胺类化合物(NCC(=O)O)
amine_003,CC(O)CN,primary,胺类化合物(CC(O)CN)
amine_004,CN(C)CC,tertiary,胺类化合物(CN(C)CC)
amine_005,NC(CCC(=O)[O-])C(=O)[O-],primary,胺类化合物(NC(CCC(=O)[O-])C(=O)[O-])
amine_006,CCN(CC)CCO,tertiary,胺类化合物(CCN(CC)CCO)
amine_007,Cn1ccnc1,tertiary,胺类化合物(Cn1ccnc1)
amine_008,CC(C)(N)CCO,primary,胺类化合物(CC(C)(N)CCO)
amine_009,Nc1ccncc1,primary,胺类化合物(Nc1ccncc1)
amine_010,CN1CCN(C)CC1,tertiary,胺类化合物(CN1CCN(C)CC1)
amine_011,CCCN,primary,胺类化合物(CCCN)
amine_012,NCCCO,primary,胺类化合物(NCCCO)
amine_013,NC(C)C(=O)[O-],primary,胺类化合物(NC(C)C(=O)[O-])
amine_014,NC(=N)N,primary,胺类化合物(NC(=N)N)
amine_015,NC(=N)NCC(=O)O,primary,胺类化合物(NC(=N)NCC(=O)O)
amine_016,CN1CCNCC1,tertiary,胺类化合物(CN1CCNCC1)
amine_017,NC(C)C(=O)O,primary,胺类化合物(NC(C)C(=O)O)
amine_018,CCN(C)C,tertiary,胺类化合物(CCN(C)C)
amine_019,Nc1ccc(O)cc1,primary,胺类化合物(Nc1ccc(O)cc1)
amine_020,NCCCCN,primary,胺类化合物(NCCCCN)
amine_021,CNCC,secondary,胺类化合物(CNCC)
amine_022,Nc1ccccc1,primary,胺类化合物(Nc1ccccc1)
amine_023,CCN(CC)CC,tertiary,三乙胺
amine_024,NCCN,primary,胺类化合物(NCCN)
amine_025,Nc1ccc(C)cc1,primary,胺类化合物(Nc1ccc(C)cc1)
amine_026,OCC1CCCCN1,secondary,胺类化合物(OCC1CCCCN1)
amine_027,CCCCNCCCC,secondary,胺类化合物(CCCCNCCCC)
amine_028,CCCCCCN,primary,胺类化合物(CCCCCCN)
amine_029,CCNCCN,secondary,胺类化合物(CCNCCN)
amine_030,CN(CCO)CCO,tertiary,N-甲基二乙醇胺(MDEA)
amine_031,NCCOCCN,primary,胺类化合物(NCCOCCN)
